ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
1,Fábio,Ferreira Vieira,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,438098,0.0
2,Gabriel,Fernando de Jesus,1,4,0,0,6,0.07,0,2,0,121,0,1,0.67,0.74,1.37,205651,0.7
3,Gabriel,dos Santos Magalhães,1,2,0,4,45,0.48,3,11,2,953,0,11,1.49,1.97,11.47,226597,4.1
4,Kai,Havertz,1,4,1,7,46,1.12,3,12,4,990,0,11,4.50,5.62,11.93,219847,4.2
5,Karl,Hein,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,463748,0.0
6,Jurriën,Timber,1,2,1,0,24,0.31,2,7,0,683,0,8,0.36,0.67,7.86,445122,2.7
7,Jorge Luiz,Frello Filho,1,3,0,0,4,0.15,1,1,0,154,0,2,0.04,0.19,1.10,85955,1.3
8,Jakub,Kiwior,1,2,0,0,3,0.00,0,4,0,96,0,0,0.00,0.00,3.17,440854,0.8
9,Gabriel,Martinelli Silva,1,3,2,4,47,1.85,3,9,3,678,0,8,2.01,3.86,8.52,444145,4.3
10,Reiss,Nelson,9,3,1,1,20,0.59,1,5,1,282,0,2,0.93,1.52,3.32,200641,2.2
11,Eddie,Nketiah,7,4,0,0,12,0.39,1,8,0,488,0,6,1.02,1.41,7.90,205533,1.7
12,Ethan,Nwaneri,1,3,0,0,5,0.17,0,0,0,52,0,0,0.05,0.22,0.17,499175,1.0
13,Martin,Ødegaard,1,3,1,2,14,0.97,2,2,0,343,0,4,0.57,1.54,4.21,184029,3.5
14,Aaron,Ramsdale,17,1,0,2,26,0.01,1,19,0,810,0,9,0.00,0.01,20.33,225321,2.9
15,David,Raya Martin,1,1,0,6,42,0.01,3,12,0,990,0,11,0.00,0.01,11.93,154561,3.8
16,Declan,Rice,1,3,1,0,19,1.23,2,12,0,832,1,10,0.74,1.97,9.23,204480,1.9
17,Bukayo,Saka,1,3,7,10,67,3.42,3,9,3,820,0,10,2.46,5.88,8.24,223340,6.7
18,William,Saliba,1,2,0,0,23,0.57,3,10,0,839,1,10,0.00,0.57,9.29,462424,2.3
19,Emile,Smith Rowe,9,3,2,8,54,1.15,5,8,3,795,0,10,2.12,3.27,8.51,209289,4.9
20,Thomas,Partey,1,3,0,3,31,0.50,3,12,1,972,0,11,0.51,1.01,11.84,167199,2.8
21,Kieran,Tierney,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,192895,0.0
22,Tomiyasu,Takehiro,1,2,0,0,1,0.00,0,0,0,6,0,0,0.18,0.18,0.04,223723,1.0
23,Leandro,Trossard,1,3,1,3,31,0.40,2,8,2,586,1,7,1.56,1.96,5.29,116216,2.8
24,Benjamin,White,1,2,1,0,27,0.32,3,7,0,694,0,7,0.13,0.45,9.87,198869,3.0
25,Oleksandr,Zinchenko,1,2,0,0,8,0.05,1,0,0,107,0,1,0.00,0.05,0.68,206325,2.7
26,Álex,Moreno Lopera,16,2,1,1,27,0.80,3,8,0,613,0,8,0.14,0.94,7.04,106468,3.4
27,Cameron,Archer,17,4,0,4,27,0.11,1,11,2,593,0,6,3.52,3.63,14.41,433979,2.5
28,Leon,Bailey,2,3,2,0,21,1.31,1,8,0,500,0,7,0.44,1.75,6.03,215711,2.1
29,Ross,Barkley,2,3,1,0,15,0.20,1,3,1,271,0,1,0.75,0.95,1.84,88894,1.9
