ID_x,First Name_x,Last Name_x,Team,Position,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,gameweek,team_position,team_id,ID_y,First Name_y,Last Name_y,short_name,waiver_pick,Team Name
9,Gabriel,Martinelli Silva,1,3,90,0,0,1,0,0,0,0,0,0,0,0,16,13.6,36.7,25.0,7.5,1,0.08,0.19,0.27,0.47,3,False,1,8.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
47,Emiliano,Martínez Romero,2,1,90,0,0,0,1,0,0,0,0,0,3,0,11,25.8,0.0,0.0,2.6,1,0.0,0.0,0.0,2.46,3,False,1,12.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
82,Dominic,Solanke-Mitchell,18,4,90,0,0,0,1,0,0,0,0,0,0,0,17,19.0,15.3,61.0,9.5,1,0.34,0.15,0.49,1.02,2,False,1,11.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
181,Christopher,Nkunku,6,3,57,0,0,0,1,0,0,0,0,0,0,0,6,7.8,13.5,13.0,3.4,1,0.15,0.06,0.21,0.66,1,False,1,9.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
182,Cole,Palmer,6,3,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,37.8,10.0,6.8,1,0.07,0.19,0.26,0.77,2,False,1,15.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
200,Marc,Guéhi,7,2,90,0,0,0,2,0,0,0,1,0,0,0,9,21.0,2.6,0.0,2.4,1,0.0,0.02,0.02,1.59,0,False,1,4.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
317,Diogo,Teixeira da Silva,12,3,78,1,0,1,0,0,0,0,0,0,0,0,24,36.8,4.9,41.0,8.3,1,0.95,0.04,0.99,0.41,8,False,1,7.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
350,Joško,Gvardiol,13,2,90,0,0,1,0,0,0,0,0,0,0,1,30,23.2,3.3,5.0,3.2,1,0.03,0.02,0.05,1.01,7,False,1,2.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
361,Rúben,Gato Alves Dias,13,2,90,0,0,1,0,0,0,0,0,0,0,0,27,14.2,0.5,0.0,1.5,1,0.0,0.0,0.0,1.01,6,False,1,3.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
401,Alexander,Isak,15,4,90,0,1,1,0,0,0,0,0,0,0,0,22,25.6,10.8,6.0,4.2,1,0.0,0.08,0.08,1.77,5,False,1,10.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
413,Nick,Pope,15,1,90,0,0,1,0,0,0,0,0,0,3,2,27,25.2,0.0,0.0,2.5,1,0.0,0.0,0.0,1.77,9,True,1,1.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
415,Fabian,Schär,15,2,27,0,0,0,0,0,0,0,0,1,0,0,-8,0.0,0.3,5.0,0.1,1,0.04,0.0,0.04,0.2,-2,False,1,5.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
503,Son,Heung-min,18,3,90,0,0,0,1,0,0,0,0,0,0,0,18,12.6,32.2,22.0,6.7,1,0.03,0.3,0.33,0.96,2,False,1,6.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
