ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
1,Fábio,Ferreira Vieira,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,438098,0.0
2,Gabriel,Fernando de Jesus,1,4,2,6,42,0.52,2,5,3,600,0,6,3.05,3.57,5.82,205651,2.5
3,Gabriel,dos Santos Magalhães,1,2,2,8,102,1.16,8,21,3,2078,0,24,2.69,3.85,20.94,226597,4.2
4,Kai,Havertz,1,4,3,14,96,1.63,7,20,9,1839,0,21,9.39,11.02,19.00,219847,4.6
5,Karl,Hein,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,463748,0.0
6,Jurriën,Timber,1,2,1,5,81,1.08,8,17,1,1935,0,22,0.75,1.83,16.93,445122,3.5
7,Jorge Luiz,Frello Filho,1,3,0,0,13,0.47,1,5,0,471,0,6,0.04,0.51,4.32,85955,1.2
8,Jakub,Kiwior,1,2,0,0,13,0.03,1,5,0,323,0,2,0.00,0.03,4.45,440854,1.6
9,Gabriel,Martinelli Silva,1,3,3,6,89,2.96,7,15,6,1452,0,16,4.04,7.00,14.75,444145,4.0
10,Reiss,Nelson,9,3,1,2,27,0.96,1,9,1,483,0,5,1.07,2.03,6.13,200641,2.2
11,Eddie,Nketiah,7,4,2,0,27,0.52,1,11,0,623,0,6,1.85,2.37,9.00,205533,1.5
12,Ethan,Nwaneri,1,3,1,4,41,1.11,1,2,3,451,0,5,0.75,1.86,3.46,499175,2.6
13,Martin,Ødegaard,1,3,3,6,65,4.28,7,12,2,1461,0,17,3.24,7.52,12.01,184029,3.6
14,Aaron,Ramsdale,17,1,0,5,52,0.03,2,41,0,1620,0,18,0.00,0.03,41.93,225321,2.9
15,David,Raya Martin,1,1,0,9,102,0.01,9,23,0,2340,0,26,0.00,0.01,22.62,154561,3.9
16,Declan,Rice,1,3,5,8,73,4.22,7,21,1,1884,1,22,1.61,5.83,17.52,204480,3.0
17,Bukayo,Saka,1,3,11,16,107,5.60,6,13,5,1268,0,16,4.17,9.77,10.52,223340,6.7
18,William,Saliba,1,2,0,9,95,0.83,9,19,2,2095,1,24,1.88,2.71,18.94,462424,4.0
19,Emile,Smith Rowe,9,3,2,13,90,1.55,6,22,5,1570,0,20,3.92,5.47,17.72,209289,3.8
20,Thomas,Partey,1,3,3,6,80,2.03,6,21,3,2015,0,22,1.57,3.60,20.71,167199,3.2
21,Kieran,Tierney,1,2,0,0,3,0.23,0,0,0,17,0,0,0.00,0.23,0.26,192895,1.0
22,Tomiyasu,Takehiro,1,2,0,0,1,0.00,0,0,0,6,0,0,0.18,0.18,0.04,223723,1.0
23,Leandro,Trossard,1,3,6,10,93,2.88,7,17,4,1629,1,18,3.76,6.64,13.85,116216,3.6
24,Benjamin,White,1,2,1,0,28,0.33,3,7,0,698,0,7,0.18,0.51,9.87,198869,2.8
25,Oleksandr,Zinchenko,1,2,0,0,18,0.11,2,0,0,272,0,2,0.14,0.25,1.85,206325,2.0
26,Álex,Moreno Lopera,16,2,1,1,31,0.82,3,15,0,812,0,10,0.17,0.99,11.40,106468,2.4
27,Cameron,Archer,17,4,0,4,43,0.53,1,27,2,1112,0,11,4.80,5.33,31.01,433979,1.9
28,Leon,Bailey,2,3,2,2,45,2.87,2,16,1,1041,0,13,1.57,4.44,11.66,215711,2.1
29,Ross,Barkley,2,3,1,5,40,0.41,1,9,3,544,0,3,1.68,2.09,5.36,88894,2.5
30,Enzo,Barrenechea,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491287,0.0
31,Emiliano,Buendía Stati,2,3,0,0,11,0.03,0,2,0,89,0,0,0.65,0.68,2.27,195546,0.9
32,Matty,Cash,2,2,1,1,41,0.98,2,18,1,1350,0,16,0.23,1.21,20.26,199796,2.3
33,Leander,Dendoncker,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,151589,0.0
34,Moussa,Diaby,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,243557,0.0
35,Diego Carlos,Santos Silva,2,2,0,1,21,0.08,2,15,0,828,0,8,0.64,0.72,11.88,165659,2.1
36,Lucas,Digne,2,2,5,6,68,3.07,3,31,0,1892,0,23,0.80,3.87,27.62,101188,2.6
37,Lewis,Dobbin,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461421,0.0
38,Jhon,Durán,2,4,0,9,53,0.24,2,14,7,622,1,4,5.11,5.35,9.94,476344,2.6
39,Joe,Gauci,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462492,0.0
40,Kortney,Hause,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,123354,0.0
41,Samuel,Iling-Junior,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,469247,0.0
42,Boubacar,Kamara,2,3,0,1,29,0.31,2,18,0,1048,0,13,0.27,0.58,14.68,226944,1.8
43,Kaine,Kesler-Hayden,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,465390,0.0
44,Ezri,Konsa Ngoyo,2,2,0,5,52,0.42,2,35,1,1991,0,23,0.59,1.01,28.90,199798,2.3
45,Ian,Maatsen,2,2,1,0,23,1.70,0,11,0,592,0,4,0.24,1.94,8.72,441302,1.1
46,Filip,Marschall,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462381,0.0
47,Emiliano,Martínez Romero,2,1,0,2,72,0.01,3,40,0,2385,0,27,0.00,0.01,34.33,98980,2.7
48,John,McGinn,2,3,3,1,49,2.12,3,28,0,1625,0,20,2.01,4.13,24.47,122806,2.1
49,Tyrone,Mings,2,2,1,3,23,0.17,1,9,0,690,0,7,0.38,0.55,9.43,149484,2.6
50,Kosta,Nedeljković,2,2,0,0,5,0.02,0,4,0,121,0,0,0.00,0.02,2.23,578545,1.0
51,Robin,Olsen,2,1,0,0,1,0.00,0,1,0,45,0,0,0.00,0.00,0.79,111782,1.0
52,Pau,Torres,2,2,0,0,32,0.34,2,29,0,1549,0,18,0.51,0.85,22.52,244954,1.8
53,Jacob,Ramsey,2,3,2,3,44,1.68,1,21,1,1111,0,13,1.19,2.87,17.14,232653,2.3
54,Morgan,Rogers,2,3,5,11,103,3.41,4,32,6,2157,0,26,4.54,7.95,30.63,244850,4.0
55,Viljami,Sinisalo,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,248164,0.0
56,Lino,da Cruz Sousa,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514315,0.0
57,Youri,Tielemans,2,3,4,9,80,4.93,3,36,2,2311,0,27,2.39,7.32,31.76,166989,3.0
58,Ollie,Watkins,2,4,5,21,133,1.52,6,33,12,1895,0,23,13.04,14.56,27.20,178301,4.9
59,Max,Aarons,3,2,0,0,8,0.01,1,0,0,84,0,1,0.00,0.01,0.28,232980,2.7
60,Tyler,Adams,3,3,3,1,35,0.27,3,15,0,981,0,10,0.79,1.06,15.50,200785,2.2
61,Jaidon,Anthony,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,444180,0.0
62,David,Brooks,3,3,1,2,40,1.43,2,7,2,657,0,7,1.66,3.09,10.83,111317,2.1
63,Ryan,Christie,3,3,3,5,70,2.50,8,24,2,1896,0,23,1.90,4.40,26.66,158499,2.8
64,Lewis,Cook,3,3,3,2,62,2.91,4,28,1,2121,0,23,0.62,3.53,31.95,155408,2.5
65,Enes,Ünal,3,4,1,4,32,0.26,2,3,2,330,0,2,2.73,2.99,6.38,168636,1.9
66,Romain,Faivre,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,441240,0.0
67,Hamed,Traorè,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,424044,0.0
68,James,Hill,3,2,1,0,14,0.20,1,4,0,235,0,4,0.05,0.25,4.16,463981,2.3
69,Daniel,Jebbison,3,4,0,0,7,0.12,0,1,0,56,0,0,0.21,0.33,1.77,523700,0.9
70,Milos,Kerkez,3,2,3,8,93,1.83,6,30,2,2267,0,26,0.46,2.29,33.88,544877,3.6
71,Justin,Kluivert,3,3,5,11,130,1.98,10,20,11,1676,0,21,9.07,11.05,23.47,222683,5.2
72,Chris,Mepham,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,223911,0.0
73,Norberto,Murara Neto,1,1,0,0,7,0.00,0,2,0,180,0,2,0.00,0.00,2.91,69752,3.5
74,Dango,Ouattara,3,3,4,7,95,2.53,5,14,7,1410,0,14,6.58,9.11,21.86,533463,4.1
75,Alex,Paulsen,3,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,495145,0.0
76,Philip,Billing,3,3,0,0,10,0.97,0,4,0,176,0,1,0.55,1.52,3.35,168991,1.0
77,Alex,Scott,3,3,0,0,12,0.27,1,3,0,288,0,2,0.17,0.44,4.08,503139,1.2
78,Antoine,Semenyo,3,3,5,7,108,3.31,7,27,7,2196,0,25,7.30,10.61,31.72,437730,4.3
79,Marcos,Senesi,3,2,0,3,21,0.44,1,15,0,917,0,11,0.81,1.25,12.04,221466,1.9
80,Luis,Sinisterra,3,3,1,2,20,0.91,0,3,1,205,0,1,1.09,2.00,3.81,224995,2.2
81,Adam,Smith,3,2,0,0,34,0.10,3,13,0,1032,0,12,0.60,0.70,12.51,54469,2.0
82,Dominic,Solanke-Mitchell,18,4,5,6,83,1.08,3,29,7,1598,0,18,8.43,9.51,30.07,154566,4.6
83,Marcus,Tavernier,3,3,6,2,63,2.21,3,19,2,1285,0,14,4.49,6.70,17.02,201658,3.3
84,Mark,Travers,3,1,0,1,19,0.01,1,5,0,450,0,5,0.00,0.01,7.36,229600,3.8
85,Illia,Zabarnyi,3,2,0,3,64,0.41,6,30,0,2280,1,26,0.81,1.22,32.74,477580,2.5
86,Kristoffer,Ajer,4,2,0,0,23,0.37,2,16,0,965,0,12,0.59,0.96,14.80,191866,1.8
87,Ethan,Brierley,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,494041,0.0
88,Nathan,Collins,4,2,5,5,86,1.19,5,42,2,2340,0,26,2.12,3.31,41.46,432830,3.3
89,Mikkel,Damsgaard,4,3,9,10,102,4.89,8,29,2,1953,0,23,2.21,7.10,33.48,440089,3.9
90,Josh,Dasilva,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,183656,0.0
