ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
1,Fábio,Ferreira Vieira,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,438098,0.0
2,Gabriel,Fernando de Jesus,1,4,0,0,0,0.00,0,0,0,5,0,0,0.00,0.00,0.15,205651,0.0
3,Gabriel,dos Santos Magalhães,1,2,0,0,6,0.02,1,0,0,90,0,1,0.12,0.14,0.47,226597,6.0
4,Kai,Havertz,1,4,1,3,12,0.04,1,0,1,90,0,1,0.45,0.49,0.47,219847,12.0
5,Karl,Hein,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,463748,0.0
6,Jurriën,Timber,1,2,0,0,1,0.01,0,0,0,21,0,0,0.02,0.03,0.15,445122,1.0
7,Jorge Luiz,Frello Filho,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,85955,0.0
8,Jakub,Kiwior,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,440854,0.0
9,Gabriel,Martinelli Silva,1,3,0,0,3,0.19,1,0,0,90,0,1,0.08,0.27,0.47,444145,3.0
10,Reiss,Nelson,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,200641,0.0
11,Eddie,Nketiah,1,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,205533,0.0
12,Ethan,Nwaneri,1,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,499175,0.0
13,Martin,Ødegaard,1,3,0,0,3,0.06,1,0,0,90,0,1,0.02,0.08,0.47,184029,3.0
14,Aaron,Ramsdale,1,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,225321,0.0
15,David,Raya Martin,1,1,0,1,8,0.00,1,0,0,90,0,1,0.00,0.00,0.47,154561,8.0
16,Declan,Rice,1,3,0,0,3,0.05,1,0,0,84,0,1,0.09,0.14,0.32,204480,3.0
17,Bukayo,Saka,1,3,1,2,12,0.37,1,0,1,79,0,1,0.35,0.72,0.32,223340,12.0
18,William,Saliba,1,2,0,0,6,0.00,1,0,0,90,0,1,0.00,0.00,0.47,462424,6.0
19,Emile,Smith Rowe,9,3,0,0,3,0.00,1,0,0,63,0,1,0.00,0.00,1.50,209289,3.0
20,Thomas,Partey,1,3,0,0,3,0.06,1,0,0,90,0,1,0.06,0.12,0.47,167199,3.0
21,Kieran,Tierney,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,192895,0.0
22,Tomiyasu,Takehiro,1,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,223723,0.0
23,Leandro,Trossard,1,3,0,0,1,0.00,0,0,0,10,0,0,0.00,0.00,0.15,116216,1.0
24,Benjamin,White,1,2,0,0,6,0.06,1,0,0,90,0,1,0.07,0.13,0.47,198869,6.0
25,Oleksandr,Zinchenko,1,2,0,0,6,0.04,1,0,0,68,0,1,0.00,0.04,0.32,206325,6.0
26,Álex,Moreno Lopera,16,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,106468,0.0
27,Cameron,Archer,17,4,0,0,1,0.00,0,0,0,19,0,0,0.19,0.19,0.00,433979,1.0
28,Leon,Bailey,2,3,0,0,1,0.21,0,1,0,73,0,1,0.21,0.42,1.39,215711,1.0
29,Ross,Barkley,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,88894,0.0
30,Enzo,Barrenechea,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491287,0.0
31,Emiliano,Buendía Stati,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,195546,0.0
32,Matty,Cash,2,2,0,0,2,0.01,0,1,0,81,0,1,0.00,0.01,1.41,199796,2.0
33,Leander,Dendoncker,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,151589,0.0
34,Moussa,Diaby,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,243557,0.0
35,Diego Carlos,Santos Silva,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,165659,0.0
36,Lucas,Digne,2,2,0,0,2,0.13,0,1,0,73,0,1,0.00,0.13,1.39,101188,2.0
37,Lewis,Dobbin,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,461421,0.0
38,Jhon,Durán,2,4,0,1,6,0.00,0,0,1,28,0,0,0.38,0.38,1.17,476344,6.0
39,Joe,Gauci,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462492,0.0
40,Kortney,Hause,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,123354,0.0
41,Samuel,Iling-Junior,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,469247,0.0
42,Boubacar,Kamara,2,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,226944,0.0
43,Kaine,Kesler-Hayden,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,465390,0.0
44,Ezri,Konsa Ngoyo,2,2,0,0,2,0.01,0,1,0,90,0,1,0.07,0.08,2.46,199798,2.0
45,Ian,Maatsen,2,2,0,0,1,0.04,0,0,0,16,0,0,0.00,0.04,1.06,441302,1.0
46,Filip,Marschall,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,462381,0.0
47,Emiliano,Martínez Romero,2,1,0,0,3,0.00,0,1,0,90,0,1,0.00,0.00,2.46,98980,3.0
48,John,McGinn,2,3,0,0,2,0.01,0,1,0,61,0,1,0.30,0.31,1.28,122806,2.0
49,Tyrone,Mings,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,149484,0.0
50,Kosta,Nedeljković,2,2,0,0,1,0.00,0,0,0,8,0,0,0.00,0.00,1.04,578545,1.0
51,Robin,Olsen,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,111782,0.0
52,Pau,Torres,2,2,0,0,2,0.01,0,1,0,90,0,1,0.00,0.01,2.46,244954,2.0
53,Jacob,Ramsey,2,3,1,0,4,0.13,0,0,0,28,0,0,0.06,0.19,1.17,232653,4.0
54,Morgan,Rogers,2,3,0,0,2,0.08,0,1,0,90,0,1,0.21,0.29,2.46,244850,2.0
55,Viljami,Sinisalo,2,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,248164,0.0
56,Lino,da Cruz Sousa,2,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,514315,0.0
57,Youri,Tielemans,2,3,1,2,7,0.24,0,1,0,90,0,1,0.18,0.42,2.46,166989,7.0
58,Ollie,Watkins,2,4,0,0,2,0.00,0,1,0,61,0,1,0.00,0.00,1.28,178301,2.0
59,Max,Aarons,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,232980,0.0
60,Tyler,Adams,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,200785,0.0
61,Jaidon,Anthony,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,444180,0.0
62,David,Brooks,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,111317,0.0
63,Ryan,Christie,3,3,0,0,1,0.01,0,0,0,27,0,0,0.00,0.01,0.28,158499,1.0
64,Lewis,Cook,3,3,0,0,1,0.21,0,1,0,83,0,1,0.00,0.21,1.04,155408,1.0
65,Enes,Ünal,3,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,168636,0.0
66,Romain,Faivre,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,441240,0.0
67,Hamed,Traorè,3,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,424044,0.0
68,James,Hill,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,463981,0.0
69,Daniel,Jebbison,3,4,0,0,1,0.00,0,0,0,21,0,0,0.00,0.00,0.28,523700,1.0
70,Milos,Kerkez,3,2,0,0,1,0.01,0,1,0,90,0,1,0.00,0.01,1.30,544877,1.0
71,Justin,Kluivert,3,3,0,0,0,0.02,0,0,0,26,0,0,0.00,0.02,0.28,222683,0.0
72,Chris,Mepham,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,223911,0.0
73,Norberto,Murara Neto,3,1,0,0,4,0.00,0,1,0,90,0,1,0.00,0.00,1.30,69752,4.0
74,Dango,Ouattara,3,3,0,0,2,0.01,0,1,0,68,0,1,0.22,0.23,1.02,533463,2.0
75,Alex,Paulsen,3,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,495145,0.0
76,Philip,Billing,3,3,0,0,1,0.00,0,0,0,6,0,0,0.00,0.00,0.26,168991,1.0
77,Alex,Scott,3,3,0,0,2,0.01,0,1,0,62,0,1,0.00,0.01,1.02,503139,2.0
78,Antoine,Semenyo,3,3,0,1,8,0.04,0,1,1,90,0,1,0.44,0.48,1.30,437730,8.0
79,Marcos,Senesi,3,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,221466,0.0
80,Luis,Sinisterra,3,3,0,0,2,0.02,0,1,0,63,0,1,0.15,0.17,1.02,224995,2.0
81,Adam,Smith,3,2,0,0,2,0.01,0,1,0,62,0,1,0.00,0.01,1.02,54469,2.0
82,Dominic,Solanke-Mitchell,18,4,0,0,2,0.15,0,1,0,90,0,1,0.34,0.49,1.02,154566,2.0
83,Marcus,Tavernier,3,3,0,0,2,0.12,0,1,0,90,0,1,0.42,0.54,1.30,201658,2.0
84,Mark,Travers,3,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,229600,0.0
85,Illia,Zabarnyi,3,2,0,0,2,0.02,0,1,0,90,0,1,0.00,0.02,1.30,477580,2.0
86,Kristoffer,Ajer,4,2,0,0,2,0.00,0,1,0,90,0,1,0.28,0.28,1.17,191866,2.0
87,Ethan,Brierley,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,494041,0.0
88,Nathan,Collins,4,2,1,1,6,0.00,0,1,0,90,0,1,0.22,0.22,1.17,432830,6.0
89,Mikkel,Damsgaard,4,3,0,0,1,0.00,0,0,0,16,0,0,0.00,0.00,0.67,440089,1.0
90,Josh,Dasilva,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,183656,0.0
91,Mark,Flekken,4,1,0,0,4,0.00,0,1,0,90,0,1,0.00,0.00,1.17,118342,4.0
92,Rico,Henry,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,194010,0.0
93,Aaron,Hickey,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,472713,0.0
