ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG,position,is_captain,is_vice_captain,multiplier,gameweek
13,Martin,Ødegaard,1,3,0,0,7,0.74,2,1,0,253,0,3,0.46,1.20,2.93,184029,2.3,7,False,False,1,1
15,David,Raya Martin,1,1,0,4,20,0.01,2,1,0,270,0,3,0.00,0.01,3.58,154561,6.7,1,False,False,1,1
24,Benjamin,White,1,2,0,0,14,0.08,2,1,0,270,0,3,0.11,0.19,3.58,198869,4.7,2,False,False,1,1
45,Ian,Maatsen,2,2,0,0,3,0.13,0,1,0,41,0,0,0.01,0.14,1.49,441302,1.0,15,False,False,1,1
136,Mitoma,Kaoru,5,3,1,1,16,0.76,1,2,1,261,0,3,1.01,1.77,3.85,451340,5.3,13,False,False,1,1
180,Nicolas,Jackson,6,4,1,2,18,0.07,0,4,2,222,0,3,1.98,2.05,2.90,517052,6.0,11,False,False,1,1
235,Jordan,Pickford,8,1,0,0,4,0.02,0,10,0,270,0,3,0.00,0.02,6.08,111234,1.3,12,False,False,1,1
335,Andrew,Robertson,12,2,0,0,18,0.39,3,0,0,250,0,3,0.30,0.69,2.11,122798,6.0,4,False,False,1,1
348,Phil,Foden,13,3,0,0,1,0.01,0,0,0,45,0,0,0.00,0.01,0.72,209244,1.0,6,False,False,1,1
351,Erling,Haaland,13,4,0,8,41,0.15,1,2,7,269,0,3,3.78,3.93,2.03,223094,13.7,10,False,False,1,1
398,Anthony,Gordon,15,3,0,3,15,0.71,1,2,1,247,0,3,0.65,1.36,4.74,232826,5.0,9,False,False,1,1
399,Lewis,Hall,15,2,0,0,7,0.12,1,0,0,112,0,1,0.00,0.12,2.02,487838,2.3,5,False,False,1,1
494,James,Maddison,18,3,2,0,12,1.43,1,3,0,237,0,3,0.50,1.93,3.47,172780,4.0,8,False,False,1,1
495,Pedro,Porro,18,2,0,1,16,0.60,1,3,1,270,0,3,0.33,0.93,3.53,441164,5.3,3,False,False,1,1
497,Richarlison,de Andrade,18,4,0,0,2,0.00,0,0,0,25,0,0,0.19,0.19,0.06,212319,1.0,14,False,False,1,1
13,Martin,Ødegaard,1,3,0,0,7,0.74,2,1,0,253,0,3,0.46,1.20,2.93,184029,2.3,7,False,False,1,2
15,David,Raya Martin,1,1,0,4,20,0.01,2,1,0,270,0,3,0.00,0.01,3.58,154561,6.7,1,False,False,1,2
24,Benjamin,White,1,2,0,0,14,0.08,2,1,0,270,0,3,0.11,0.19,3.58,198869,4.7,2,False,False,1,2
45,Ian,Maatsen,2,2,0,0,3,0.13,0,1,0,41,0,0,0.01,0.14,1.49,441302,1.0,15,False,False,1,2
136,Mitoma,Kaoru,5,3,1,1,16,0.76,1,2,1,261,0,3,1.01,1.77,3.85,451340,5.3,6,False,False,1,2
235,Jordan,Pickford,8,1,0,0,4,0.02,0,10,0,270,0,3,0.00,0.02,6.08,111234,1.3,12,False,False,1,2
335,Andrew,Robertson,12,2,0,0,18,0.39,3,0,0,250,0,3,0.30,0.69,2.11,122798,6.0,4,False,False,1,2
348,Phil,Foden,13,3,0,0,1,0.01,0,0,0,45,0,0,0.00,0.01,0.72,209244,1.0,13,False,False,1,2
351,Erling,Haaland,13,4,0,8,41,0.15,1,2,7,269,0,3,3.78,3.93,2.03,223094,13.7,10,False,False,1,2
389,Joshua,Zirkzee,14,4,0,3,10,0.05,0,4,1,159,0,1,0.95,1.00,2.81,458249,3.3,11,False,False,1,2
398,Anthony,Gordon,15,3,0,3,15,0.71,1,2,1,247,0,3,0.65,1.36,4.74,232826,5.0,9,False,False,1,2
399,Lewis,Hall,15,2,0,0,7,0.12,1,0,0,112,0,1,0.00,0.12,2.02,487838,2.3,5,False,False,1,2
494,James,Maddison,18,3,2,0,12,1.43,1,3,0,237,0,3,0.50,1.93,3.47,172780,4.0,8,False,False,1,2
495,Pedro,Porro,18,2,0,1,16,0.60,1,3,1,270,0,3,0.33,0.93,3.53,441164,5.3,3,False,False,1,2
497,Richarlison,de Andrade,18,4,0,0,2,0.00,0,0,0,25,0,0,0.19,0.19,0.06,212319,1.0,14,False,False,1,2
