ID,First Name,Last Name,Team,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,gameweek
13,Martin,Ødegaard,1,90,0,0,1,0,0,0,0,0,0,0,0,16,15.0,24.0,15.0,5.4,1,0.02,0.06,0.08,0.47,3,False,1
15,David,Raya Martin,1,90,0,0,1,0,0,0,0,0,0,3,1,28,28.0,0.0,0.0,2.8,1,0.0,0.0,0.0,0.47,8,False,1
24,Benjamin,White,1,90,0,0,1,0,0,0,0,0,0,0,0,22,5.8,1.3,8.0,1.5,1,0.07,0.06,0.13,0.47,6,False,1
45,Ian,Maatsen,2,16,0,0,0,0,0,0,0,0,0,0,0,5,8.8,10.5,0.0,1.9,0,0.0,0.04,0.04,1.06,1,False,1
136,Mitoma,Kaoru,5,88,1,0,1,0,0,0,0,0,0,0,0,27,48.2,4.1,80.0,13.2,1,0.97,0.04,1.01,0.45,8,False,1
180,Nicolas,Jackson,6,65,0,0,0,1,0,0,0,0,0,0,0,3,4.6,23.6,23.0,5.1,1,0.47,0.06,0.53,0.66,2,False,1
235,Jordan,Pickford,8,90,0,0,0,3,0,0,0,0,0,2,0,2,23.8,0.0,0.0,2.4,1,0.0,0.02,0.02,1.43,1,False,1
335,Andrew,Robertson,12,78,0,0,1,0,0,0,0,0,0,0,0,24,12.0,17.1,4.0,3.3,1,0.0,0.13,0.13,0.41,6,False,1
348,Phil,Foden,13,45,0,0,0,0,0,0,0,0,0,0,0,6,9.0,3.7,0.0,1.3,0,0.0,0.01,0.01,0.72,1,False,1
351,Erling,Haaland,13,90,1,0,1,0,0,0,0,1,0,0,2,31,36.4,0.6,38.0,7.5,1,0.28,0.0,0.28,1.01,7,False,1
398,Anthony,Gordon,15,69,0,0,1,0,0,0,0,0,0,0,0,12,2.4,12.8,2.0,1.7,1,0.0,0.02,0.02,1.33,3,False,1
399,Lewis,Hall,15,69,0,0,1,0,0,0,0,1,0,0,0,17,14.2,14.7,2.0,3.1,1,0.0,0.02,0.02,1.33,5,False,1
494,James,Maddison,18,78,0,1,0,1,0,0,0,0,0,0,0,25,31.6,52.8,15.0,9.9,1,0.02,0.98,1.0,0.9,5,False,1
495,Pedro,Porro,18,90,1,0,0,1,0,0,0,0,0,0,1,28,50.0,59.3,21.0,13.0,1,0.09,0.32,0.41,0.96,9,True,1
497,Richarlison,de Andrade,18,1,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,1.0,7.0,0.7,0,0.19,0.0,0.19,0.06,1,False,1
13,Martin,Ødegaard,1,90,0,0,1,0,0,0,0,1,0,0,0,4,9.4,34.2,20.0,6.4,1,0.26,0.6,0.86,1.28,2,False,2
15,David,Raya Martin,1,90,0,0,1,0,0,0,0,0,0,3,3,27,28.2,0.0,0.0,2.8,1,0.0,0.0,0.0,1.28,10,True,2
24,Benjamin,White,1,90,0,0,1,0,0,0,0,0,0,0,0,23,9.2,6.8,4.0,2.0,1,0.0,0.02,0.02,1.28,6,False,2
45,Ian,Maatsen,2,14,0,0,0,1,0,0,0,0,0,0,0,0,4.4,15.1,0.0,2.0,0,0.0,0.09,0.09,0.38,1,False,2
136,Mitoma,Kaoru,5,89,0,1,0,1,0,0,0,0,0,0,1,20,16.6,13.5,6.0,3.6,1,0.0,0.58,0.58,1.32,6,False,2
235,Jordan,Pickford,8,90,0,0,0,4,0,0,0,0,0,3,0,-5,21.2,0.1,0.0,2.1,1,0.0,0.0,0.0,2.43,1,False,2
335,Andrew,Robertson,12,90,0,0,1,0,0,0,0,0,0,0,0,29,22.0,47.1,52.0,12.1,1,0.3,0.19,0.49,0.36,6,False,2
348,Phil,Foden,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,2
351,Erling,Haaland,13,89,3,0,0,1,0,0,0,0,0,0,3,80,97.2,3.3,83.0,18.4,1,1.79,0.04,1.83,0.29,17,True,2
